number,value_accuracy,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_splitter,state
0,0.7696758028105757,2024-10-16 07:03:54.161698,2024-10-16 07:03:54.296094,0 days 00:00:00.134396,entropy,4,18,2,random,COMPLETE
1,0.7865534399413775,2024-10-16 07:03:54.165764,2024-10-16 07:03:54.292514,0 days 00:00:00.126750,entropy,1,17,14,random,COMPLETE
2,0.8006063184767579,2024-10-16 07:03:54.172147,2024-10-16 07:03:54.374088,0 days 00:00:00.201941,entropy,5,3,13,best,COMPLETE
3,0.768275242586486,2024-10-16 07:03:54.179693,2024-10-16 07:03:54.389794,0 days 00:00:00.210101,entropy,5,6,28,random,COMPLETE
4,0.7696758028105757,2024-10-16 07:03:54.186500,2024-10-16 07:03:54.514165,0 days 00:00:00.327665,entropy,6,29,12,random,COMPLETE
5,0.7556111052015743,2024-10-16 07:03:54.190642,2024-10-16 07:03:54.571751,0 days 00:00:00.381109,entropy,10,26,21,best,COMPLETE
6,0.7696758028105757,2024-10-16 07:03:54.215557,2024-10-16 07:03:54.420433,0 days 00:00:00.204876,gini,4,11,9,random,COMPLETE
7,0.7865002541100828,2024-10-16 07:03:54.221719,2024-10-16 07:03:54.351631,0 days 00:00:00.129912,gini,6,5,18,random,COMPLETE
8,0.7752839532437448,2024-10-16 07:03:54.258260,2024-10-16 07:03:54.454881,0 days 00:00:00.196621,gini,9,2,30,random,COMPLETE
9,0.7682693330496755,2024-10-16 07:03:54.269367,2024-10-16 07:03:54.483546,0 days 00:00:00.214179,gini,10,8,10,random,COMPLETE
10,0.7809098322873455,2024-10-16 07:03:54.336212,2024-10-16 07:03:54.620261,0 days 00:00:00.284049,entropy,10,5,26,best,COMPLETE
11,0.7696758028105757,2024-10-16 07:03:54.375380,2024-10-16 07:03:54.525836,0 days 00:00:00.150456,gini,10,21,5,random,COMPLETE
12,0.7696758028105757,2024-10-16 07:03:54.382779,2024-10-16 07:03:54.545494,0 days 00:00:00.162715,gini,2,9,12,random,COMPLETE
13,0.7865534399413775,2024-10-16 07:03:54.422142,2024-10-16 07:03:54.685763,0 days 00:00:00.263621,entropy,1,5,29,random,COMPLETE
14,0.7738952120932762,2024-10-16 07:03:54.445269,2024-10-16 07:03:54.632712,0 days 00:00:00.187443,gini,3,31,11,best,COMPLETE
15,0.7696758028105757,2024-10-16 07:03:54.467467,2024-10-16 07:03:54.646481,0 days 00:00:00.179014,gini,7,31,14,random,COMPLETE
16,0.7949804394331572,2024-10-16 07:03:54.487006,2024-10-16 07:03:54.866088,0 days 00:00:00.379082,entropy,3,6,12,best,COMPLETE
17,0.7752957723173658,2024-10-16 07:03:54.493131,2024-10-16 07:03:54.688134,0 days 00:00:00.195003,entropy,2,4,22,best,COMPLETE
18,0.7865534399413775,2024-10-16 07:03:54.564780,2024-10-16 07:03:54.806401,0 days 00:00:00.241621,entropy,1,24,21,best,COMPLETE
19,0.7865534399413775,2024-10-16 07:03:54.579407,2024-10-16 07:03:54.730126,0 days 00:00:00.150719,entropy,1,15,20,best,COMPLETE
20,0.7865534399413775,2024-10-16 07:03:54.633598,2024-10-16 07:03:54.867974,0 days 00:00:00.234376,entropy,1,14,16,best,COMPLETE
21,0.768298880733728,2024-10-16 07:03:54.714584,2024-10-16 07:03:55.032390,0 days 00:00:00.317806,entropy,8,13,17,best,COMPLETE
22,0.768298880733728,2024-10-16 07:03:54.731708,2024-10-16 07:03:54.926428,0 days 00:00:00.194720,entropy,8,14,16,best,COMPLETE
23,0.768298880733728,2024-10-16 07:03:54.812579,2024-10-16 07:03:55.026758,0 days 00:00:00.214179,entropy,8,13,16,best,COMPLETE
24,0.768298880733728,2024-10-16 07:03:54.821951,2024-10-16 07:03:54.964516,0 days 00:00:00.142565,entropy,8,14,16,best,COMPLETE
25,0.8005826803295157,2024-10-16 07:03:54.893961,2024-10-16 07:03:55.111474,0 days 00:00:00.217513,entropy,3,1,7,best,COMPLETE
26,0.8005826803295157,2024-10-16 07:03:54.895056,2024-10-16 07:03:55.012069,0 days 00:00:00.117013,entropy,3,1,6,best,COMPLETE
27,0.8005826803295157,2024-10-16 07:03:54.898790,2024-10-16 07:03:55.038182,0 days 00:00:00.139392,entropy,3,1,7,best,COMPLETE
28,0.8005826803295157,2024-10-16 07:03:54.979582,2024-10-16 07:03:55.344177,0 days 00:00:00.364595,entropy,3,1,6,best,COMPLETE
29,0.8005826803295157,2024-10-16 07:03:55.039488,2024-10-16 07:03:55.306802,0 days 00:00:00.267314,entropy,4,1,7,best,COMPLETE
30,0.8005826803295157,2024-10-16 07:03:55.040430,2024-10-16 07:03:55.633408,0 days 00:00:00.592978,entropy,4,1,6,best,COMPLETE
31,0.7991821201054261,2024-10-16 07:03:55.051585,2024-10-16 07:03:55.521462,0 days 00:00:00.469877,entropy,4,2,7,best,COMPLETE
32,0.8005826803295157,2024-10-16 07:03:55.059097,2024-10-16 07:03:55.741800,0 days 00:00:00.682703,entropy,4,1,7,best,COMPLETE
33,0.8005826803295157,2024-10-16 07:03:55.068690,2024-10-16 07:03:55.523243,0 days 00:00:00.454553,entropy,4,1,6,best,COMPLETE
34,0.8005826803295157,2024-10-16 07:03:55.070434,2024-10-16 07:03:55.834505,0 days 00:00:00.764071,entropy,4,1,7,best,COMPLETE
35,0.8005826803295157,2024-10-16 07:03:55.074792,2024-10-16 07:03:55.530667,0 days 00:00:00.455875,entropy,4,1,7,best,COMPLETE
36,0.8005826803295157,2024-10-16 07:03:55.106186,2024-10-16 07:03:55.853530,0 days 00:00:00.747344,entropy,4,1,6,best,COMPLETE
37,0.7837109527355247,2024-10-16 07:03:55.119577,2024-10-16 07:03:55.777022,0 days 00:00:00.657445,entropy,5,1,4,best,COMPLETE
38,0.7837109527355247,2024-10-16 07:03:55.120825,2024-10-16 07:03:55.857351,0 days 00:00:00.736526,entropy,5,1,5,best,COMPLETE
39,0.7949981680435888,2024-10-16 07:03:55.122797,2024-10-16 07:03:55.844429,0 days 00:00:00.721632,entropy,5,3,4,best,COMPLETE
40,0.7837109527355247,2024-10-16 07:03:55.127120,2024-10-16 07:03:55.830114,0 days 00:00:00.702994,entropy,5,1,4,best,COMPLETE
41,0.7893368317791252,2024-10-16 07:03:55.137349,2024-10-16 07:03:55.975138,0 days 00:00:00.837789,entropy,5,1,3,best,COMPLETE
42,0.7837109527355247,2024-10-16 07:03:55.140041,2024-10-16 07:03:55.917284,0 days 00:00:00.777243,entropy,5,1,4,best,COMPLETE
43,0.7837109527355247,2024-10-16 07:03:55.142124,2024-10-16 07:03:55.957016,0 days 00:00:00.814892,entropy,5,1,4,best,COMPLETE
44,0.7753016818541761,2024-10-16 07:03:55.376878,2024-10-16 07:03:56.102460,0 days 00:00:00.725582,entropy,5,8,2,best,COMPLETE
45,0.7823044829746243,2024-10-16 07:03:55.418046,2024-10-16 07:03:56.174234,0 days 00:00:00.756188,entropy,4,9,3,best,COMPLETE
46,0.7753016818541761,2024-10-16 07:03:55.587600,2024-10-16 07:03:56.237729,0 days 00:00:00.650129,entropy,5,8,2,best,COMPLETE
47,0.7753016818541761,2024-10-16 07:03:55.598470,2024-10-16 07:03:56.419426,0 days 00:00:00.820956,entropy,5,8,3,best,COMPLETE
48,0.7753016818541761,2024-10-16 07:03:55.641188,2024-10-16 07:03:56.324309,0 days 00:00:00.683121,entropy,5,8,2,best,COMPLETE
49,0.7752957723173658,2024-10-16 07:03:55.790713,2024-10-16 07:03:56.369039,0 days 00:00:00.578326,entropy,2,3,2,best,COMPLETE
50,0.7949804394331572,2024-10-16 07:03:55.858184,2024-10-16 07:03:56.557275,0 days 00:00:00.699091,entropy,3,7,9,best,COMPLETE
51,0.8047843610017846,2024-10-16 07:03:55.895871,2024-10-16 07:03:56.692707,0 days 00:00:00.796836,entropy,3,8,2,best,COMPLETE
52,0.7949804394331572,2024-10-16 07:03:55.932766,2024-10-16 07:03:56.681459,0 days 00:00:00.748693,entropy,3,7,9,best,COMPLETE
53,0.7949804394331572,2024-10-16 07:03:55.958219,2024-10-16 07:03:56.661868,0 days 00:00:00.703649,entropy,3,7,2,best,COMPLETE
54,0.7949804394331572,2024-10-16 07:03:55.959848,2024-10-16 07:03:56.716794,0 days 00:00:00.756946,entropy,3,7,9,best,COMPLETE
55,0.7949804394331572,2024-10-16 07:03:55.981446,2024-10-16 07:03:56.665891,0 days 00:00:00.684445,entropy,3,7,9,best,COMPLETE
56,0.7949804394331572,2024-10-16 07:03:55.985508,2024-10-16 07:03:56.643163,0 days 00:00:00.657655,entropy,3,7,9,best,COMPLETE
57,0.8047843610017846,2024-10-16 07:03:55.989596,2024-10-16 07:03:56.624713,0 days 00:00:00.635117,entropy,3,8,10,best,COMPLETE
58,0.8047843610017846,2024-10-16 07:03:55.994413,2024-10-16 07:03:56.834130,0 days 00:00:00.839717,entropy,3,8,9,best,COMPLETE
59,0.8047843610017846,2024-10-16 07:03:55.997137,2024-10-16 07:03:56.820238,0 days 00:00:00.823101,entropy,3,8,9,best,COMPLETE
60,0.8005826803295157,2024-10-16 07:03:56.155909,2024-10-16 07:03:56.904052,0 days 00:00:00.748143,entropy,3,4,9,best,COMPLETE
61,0.7696758028105757,2024-10-16 07:03:56.263585,2024-10-16 07:03:57.058801,0 days 00:00:00.795216,gini,3,4,9,random,COMPLETE
62,0.7696758028105757,2024-10-16 07:03:56.371035,2024-10-16 07:03:57.267979,0 days 00:00:00.896944,gini,3,6,9,random,COMPLETE
63,0.7696758028105757,2024-10-16 07:03:56.430210,2024-10-16 07:03:57.209955,0 days 00:00:00.779745,gini,3,6,9,random,COMPLETE
64,0.7696758028105757,2024-10-16 07:03:56.454564,2024-10-16 07:03:57.164224,0 days 00:00:00.709660,gini,3,6,9,random,COMPLETE
65,0.7696758028105757,2024-10-16 07:03:56.514965,2024-10-16 07:03:57.329771,0 days 00:00:00.814806,gini,3,6,9,random,COMPLETE
66,0.7696758028105757,2024-10-16 07:03:56.709505,2024-10-16 07:03:57.421989,0 days 00:00:00.712484,gini,2,11,13,random,COMPLETE
67,0.7696758028105757,2024-10-16 07:03:56.721056,2024-10-16 07:03:57.538524,0 days 00:00:00.817468,gini,2,11,14,random,COMPLETE
68,0.7696758028105757,2024-10-16 07:03:56.733002,2024-10-16 07:03:57.749486,0 days 00:00:01.016484,gini,2,11,13,random,COMPLETE
69,0.7696758028105757,2024-10-16 07:03:56.746606,2024-10-16 07:03:57.685712,0 days 00:00:00.939106,gini,2,18,11,random,COMPLETE
70,0.7696758028105757,2024-10-16 07:03:56.748983,2024-10-16 07:03:57.649742,0 days 00:00:00.900759,gini,2,11,13,random,COMPLETE
71,0.7696758028105757,2024-10-16 07:03:56.750241,2024-10-16 07:03:57.764913,0 days 00:00:01.014672,gini,2,11,13,random,COMPLETE
72,0.7696758028105757,2024-10-16 07:03:56.762388,2024-10-16 07:03:57.487340,0 days 00:00:00.724952,gini,2,11,13,random,COMPLETE
73,0.7696758028105757,2024-10-16 07:03:56.768437,2024-10-16 07:03:57.758818,0 days 00:00:00.990381,gini,2,11,13,random,COMPLETE
74,0.7696758028105757,2024-10-16 07:03:56.867462,2024-10-16 07:03:57.803889,0 days 00:00:00.936427,gini,2,11,13,random,COMPLETE
75,0.7696758028105757,2024-10-16 07:03:56.900951,2024-10-16 07:03:57.675547,0 days 00:00:00.774596,gini,2,11,14,random,COMPLETE
76,0.7696758028105757,2024-10-16 07:03:56.931774,2024-10-16 07:03:57.903973,0 days 00:00:00.972199,gini,2,11,11,random,COMPLETE
77,0.7752957723173658,2024-10-16 07:03:57.213734,2024-10-16 07:03:58.176015,0 days 00:00:00.962281,entropy,2,10,13,best,COMPLETE
78,0.7752957723173658,2024-10-16 07:03:57.257754,2024-10-16 07:03:58.011401,0 days 00:00:00.753647,entropy,2,11,11,best,COMPLETE
79,0.7752957723173658,2024-10-16 07:03:57.284945,2024-10-16 07:03:58.109040,0 days 00:00:00.824095,entropy,2,11,14,best,COMPLETE
80,0.7752957723173658,2024-10-16 07:03:57.323530,2024-10-16 07:03:58.103139,0 days 00:00:00.779609,entropy,2,11,13,best,COMPLETE
81,0.7752957723173658,2024-10-16 07:03:57.442849,2024-10-16 07:03:58.325098,0 days 00:00:00.882249,entropy,2,18,14,best,COMPLETE
82,0.7767022420782658,2024-10-16 07:03:57.502147,2024-10-16 07:03:58.379869,0 days 00:00:00.877722,entropy,6,18,12,best,COMPLETE
83,0.7753016818541761,2024-10-16 07:03:57.548861,2024-10-16 07:03:58.246191,0 days 00:00:00.697330,entropy,6,17,11,best,COMPLETE
84,0.7809039227505349,2024-10-16 07:03:57.604364,2024-10-16 07:03:58.296771,0 days 00:00:00.692407,entropy,6,10,12,best,COMPLETE
85,0.7809157418241558,2024-10-16 07:03:57.704560,2024-10-16 07:03:58.547691,0 days 00:00:00.843131,entropy,6,3,11,best,COMPLETE
86,0.7767140611518869,2024-10-16 07:03:57.791900,2024-10-16 07:03:58.597436,0 days 00:00:00.805536,entropy,6,3,8,best,COMPLETE
87,0.7865534399413775,2024-10-16 07:03:57.796763,2024-10-16 07:03:58.694595,0 days 00:00:00.897832,entropy,1,4,8,best,COMPLETE
88,0.7767140611518869,2024-10-16 07:03:57.807738,2024-10-16 07:03:58.620795,0 days 00:00:00.813057,entropy,6,3,8,best,COMPLETE
89,0.7767140611518869,2024-10-16 07:03:57.816515,2024-10-16 07:03:58.503583,0 days 00:00:00.687068,entropy,6,3,8,best,COMPLETE
90,0.7865534399413775,2024-10-16 07:03:57.822369,2024-10-16 07:03:58.689531,0 days 00:00:00.867162,entropy,1,3,11,best,COMPLETE
91,0.7767199706886974,2024-10-16 07:03:57.844062,2024-10-16 07:03:58.550317,0 days 00:00:00.706255,entropy,7,3,11,best,COMPLETE
92,0.7767199706886974,2024-10-16 07:03:57.988793,2024-10-16 07:03:58.824890,0 days 00:00:00.836097,entropy,7,3,11,best,COMPLETE
93,0.7767140611518869,2024-10-16 07:03:58.114264,2024-10-16 07:03:58.966661,0 days 00:00:00.852397,entropy,6,3,5,best,COMPLETE
94,0.7767140611518869,2024-10-16 07:03:58.155329,2024-10-16 07:03:59.004661,0 days 00:00:00.849332,entropy,6,3,8,best,COMPLETE
95,0.7711177297923388,2024-10-16 07:03:58.162737,2024-10-16 07:03:58.935246,0 days 00:00:00.772509,entropy,7,3,8,best,COMPLETE
96,0.7879244524814145,2024-10-16 07:03:58.254031,2024-10-16 07:03:59.037165,0 days 00:00:00.783134,entropy,4,3,6,best,COMPLETE
97,0.787930362018225,2024-10-16 07:03:58.363399,2024-10-16 07:03:59.028113,0 days 00:00:00.664714,entropy,4,3,32,best,COMPLETE
98,0.7879244524814145,2024-10-16 07:03:58.394132,2024-10-16 07:03:58.952048,0 days 00:00:00.557916,entropy,4,3,6,best,COMPLETE
99,0.7879244524814145,2024-10-16 07:03:58.395892,2024-10-16 07:03:58.939229,0 days 00:00:00.543337,entropy,4,3,6,best,COMPLETE
